Tenure,MonthlyCharges,ContractType,PaymentMethod,CustomerSupportCalls,Churn
55,104.9,One year,Bank Transfer,1,No
38,141.36,Two years,Bank Transfer,0,No
54,61.46,Two years,Electronic Check,2,No
19,80.8,One year,Credit Card,9,No
2,87.83,Two years,Direct Debit,6,No
12,149.73,Monthly,Direct Debit,0,No
59,81.32,Monthly,Electronic Check,1,No
33,52.8,One year,Bank Transfer,6,No
29,21.61,Two years,Direct Debit,10,No
55,135.5,Two years,Electronic Check,4,No
13,111.52,One year,Bank Transfer,7,No
48,99.02,One year,Electronic Check,0,No
67,64.59,Two years,Electronic Check,7,Yes
23,52.26,One year,Electronic Check,7,Yes
22,77.37,Two years,Credit Card,0,No
23,91.52,Two years,Credit Card,5,No
39,65.83,Two years,Credit Card,7,No
7,23.15,Monthly,Bank Transfer,1,No
70,130.97,One year,Bank Transfer,8,Yes
16,26.2,One year,Bank Transfer,8,No
46,116.66,One year,Bank Transfer,1,Yes
19,105.5,Monthly,Credit Card,7,No
11,59.76,Two years,Electronic Check,7,No
34,109.7,One year,Electronic Check,7,No
60,141.92,One year,Bank Transfer,3,No
65,79.57,One year,Bank Transfer,5,No
29,100.54,One year,Credit Card,3,No
60,76.12,Monthly,Direct Debit,3,No
72,47.43,Monthly,Electronic Check,8,Yes
60,68.04,Two years,Direct Debit,6,No
29,47.45,One year,Direct Debit,3,No
43,24.83,Monthly,Bank Transfer,0,No
3,31.67,Two years,Electronic Check,4,No
40,103.48,Two years,Bank Transfer,5,No
22,66.39,Monthly,Electronic Check,3,Yes
30,60.93,One year,Electronic Check,1,No
61,109.38,One year,Electronic Check,6,Yes
52,94.05,Two years,Direct Debit,1,No
48,71.04,Monthly,Credit Card,3,Yes
71,111.7,Two years,Bank Transfer,0,Yes
14,111.06,Monthly,Bank Transfer,6,Yes
40,136.06,Monthly,Electronic Check,10,No
18,49.24,Two years,Direct Debit,8,Yes
19,42.01,One year,Credit Card,5,No
17,42.39,One year,Credit Card,2,No
59,24.55,One year,Credit Card,2,No
39,96.45,Two years,Credit Card,10,No
1,32.64,Two years,Electronic Check,8,No
41,107.27,Two years,Direct Debit,5,No
11,146.69,Two years,Direct Debit,7,No
52,131.76,Monthly,Bank Transfer,5,No
15,104.68,Two years,Direct Debit,2,No
1,56.67,Monthly,Credit Card,6,No
17,144.18,Two years,Bank Transfer,9,No
22,64.67,One year,Bank Transfer,6,Yes
55,23.94,One year,Credit Card,2,No
17,90.51,Monthly,Direct Debit,1,Yes
33,39.19,One year,Credit Card,5,Yes
69,92.05,Monthly,Bank Transfer,2,No
53,88.97,Two years,Direct Debit,2,No
30,133.82,One year,Credit Card,1,No
35,68.31,One year,Electronic Check,9,No
72,86.38,Monthly,Direct Debit,6,No
60,95.23,Monthly,Electronic Check,4,No
8,95.69,Two years,Electronic Check,2,No
35,70.67,Two years,Electronic Check,8,No
71,146.66,One year,Electronic Check,5,No
18,68.83,One year,Credit Card,4,No
44,115.72,One year,Credit Card,5,Yes
48,87.47,One year,Electronic Check,8,Yes
4,84.38,One year,Bank Transfer,1,No
6,95.81,Monthly,Bank Transfer,6,Yes
42,116.31,One year,Credit Card,0,No
60,100.99,Monthly,Direct Debit,7,No
1,70.12,One year,Electronic Check,8,No
15,76.18,One year,Credit Card,3,Yes
52,65.21,Monthly,Electronic Check,9,No
11,49.85,One year,Direct Debit,7,No
55,66.58,Two years,Electronic Check,5,No
48,44.61,Two years,Direct Debit,8,No
33,69.3,One year,Direct Debit,5,No
64,48.51,Two years,Bank Transfer,5,Yes
54,106.29,One year,Direct Debit,4,No
50,110.88,One year,Electronic Check,0,Yes
43,106.34,One year,Electronic Check,7,No
69,134.76,One year,Electronic Check,9,No
28,92.77,Monthly,Bank Transfer,5,No
30,58.02,Two years,Credit Card,2,No
19,76.35,Monthly,Bank Transfer,10,No
11,97.73,One year,Direct Debit,7,Yes
9,33.62,Two years,Direct Debit,3,Yes
25,43.7,Monthly,Credit Card,2,Yes
7,59.1,One year,Direct Debit,8,Yes
58,128.31,Monthly,Bank Transfer,4,No
41,67.1,Monthly,Direct Debit,0,No
42,25.79,Two years,Credit Card,8,Yes
72,118.33,Monthly,Credit Card,1,No
33,141.21,Monthly,Direct Debit,1,No
31,124.55,Monthly,Bank Transfer,4,No
1,110.57,One year,Bank Transfer,2,Yes
64,28.29,One year,Bank Transfer,1,No
70,107.67,Monthly,Electronic Check,2,Yes
40,138.25,Two years,Electronic Check,9,Yes
41,38.75,One year,Credit Card,2,No
63,70.73,One year,Direct Debit,8,No
43,97.61,One year,Direct Debit,4,No
21,64.02,One year,Electronic Check,9,Yes
49,133.7,One year,Electronic Check,1,No
15,69.18,Monthly,Credit Card,7,No
48,81.54,Monthly,Credit Card,5,No
31,31.2,Monthly,Credit Card,1,No
57,104.09,Two years,Bank Transfer,10,No
3,142.42,One year,Bank Transfer,0,No
35,34.2,Two years,Credit Card,9,No
48,137.67,Two years,Direct Debit,2,No
9,49.81,One year,Credit Card,4,No
57,93.22,Monthly,Bank Transfer,7,Yes
40,132.82,Monthly,Bank Transfer,3,Yes
30,101.68,Two years,Direct Debit,8,No
42,119.29,One year,Direct Debit,8,Yes
61,98.05,One year,Direct Debit,9,No
22,115.22,Two years,Bank Transfer,7,No
28,79.32,One year,Direct Debit,1,No
68,73.74,One year,Bank Transfer,2,No
39,44.92,Two years,Bank Transfer,0,Yes
22,57.89,Monthly,Electronic Check,1,No
29,111.5,One year,Direct Debit,0,No
50,119.07,Two years,Bank Transfer,5,No
34,102.63,Monthly,Credit Card,0,Yes
32,131.9,Monthly,Bank Transfer,1,No
18,96.17,One year,Credit Card,3,No
5,70.95,Two years,Bank Transfer,4,No
25,83.8,Two years,Bank Transfer,0,Yes
68,70.33,Monthly,Credit Card,2,No
71,35.94,Monthly,Credit Card,3,No
52,100.55,Monthly,Direct Debit,2,Yes
37,38.72,Two years,Electronic Check,9,No
8,106.55,Two years,Electronic Check,1,No
20,144.23,One year,Credit Card,4,No
61,100.16,One year,Bank Transfer,0,No
51,108.75,Monthly,Electronic Check,2,Yes
38,90.4,One year,Direct Debit,6,No
64,113.3,Two years,Direct Debit,3,No
37,127.36,Monthly,Direct Debit,10,No
8,70.3,Two years,Electronic Check,2,No
1,93.5,Two years,Bank Transfer,2,Yes
46,51.75,Two years,Bank Transfer,7,No
39,128.11,One year,Bank Transfer,3,Yes
48,107.17,One year,Credit Card,6,Yes
10,46.99,Monthly,Direct Debit,10,No
55,34.96,Two years,Bank Transfer,2,No
45,36.14,One year,Credit Card,1,No
62,22.05,Two years,Bank Transfer,9,No
16,126.57,One year,Direct Debit,0,Yes
21,23.2,Monthly,Electronic Check,8,Yes
17,42.83,One year,Direct Debit,9,No
49,134.33,Two years,Credit Card,5,Yes
8,54.08,Monthly,Credit Card,7,No
4,114.6,One year,Bank Transfer,1,No
22,45.28,Two years,Credit Card,3,No
54,95.53,One year,Credit Card,1,Yes
12,86.49,One year,Direct Debit,5,Yes
66,141.14,One year,Credit Card,3,No
17,149.07,One year,Electronic Check,8,No
44,132.02,One year,Electronic Check,10,Yes
70,84.11,Two years,Credit Card,6,No
2,37.39,One year,Credit Card,7,No
21,21.76,Two years,Direct Debit,8,Yes
64,90.25,Monthly,Bank Transfer,9,No
72,117.93,Two years,Direct Debit,3,Yes
25,125.54,Monthly,Direct Debit,10,No
42,147.25,One year,Bank Transfer,10,No
60,45.63,Two years,Electronic Check,6,No
14,31.25,Monthly,Credit Card,8,No
12,125.89,Two years,Electronic Check,3,Yes
67,148.83,Two years,Credit Card,6,No
27,85.1,One year,Electronic Check,7,No
2,149.26,One year,Credit Card,10,Yes
58,55.18,One year,Credit Card,2,No
31,23.33,One year,Credit Card,3,No
25,118.22,Monthly,Bank Transfer,1,No
6,32.61,Monthly,Electronic Check,1,Yes
28,111.36,Monthly,Direct Debit,5,No
24,140.37,One year,Electronic Check,5,No
8,139.64,One year,Electronic Check,10,No
59,73.95,Two years,Direct Debit,7,No
36,80.6,Two years,Electronic Check,4,No
25,54.62,Two years,Direct Debit,2,No
6,129.41,Monthly,Credit Card,2,Yes
22,97.03,Monthly,Credit Card,9,No
42,64.34,One year,Credit Card,6,No
55,32.61,Two years,Bank Transfer,10,No
9,35.07,Two years,Electronic Check,5,No
66,108.01,One year,Direct Debit,4,No
20,41.62,Two years,Bank Transfer,5,No
5,143.6,Two years,Direct Debit,6,No
21,44.66,One year,Direct Debit,10,No
70,44.91,One year,Direct Debit,0,No
38,42.57,Two years,Direct Debit,8,No
72,81.76,Two years,Direct Debit,9,Yes
46,73.75,One year,Bank Transfer,1,Yes
68,136.18,One year,Bank Transfer,0,No
44,84.43,Two years,Direct Debit,0,No
50,134.25,Monthly,Electronic Check,9,No
65,120.05,One year,Electronic Check,2,No
44,139.46,Monthly,Electronic Check,2,No
29,56.38,Two years,Direct Debit,6,No
54,128.16,Monthly,Direct Debit,2,No
14,35.75,Two years,Bank Transfer,2,No
61,133.53,Two years,Direct Debit,8,No
27,103.27,Two years,Credit Card,2,Yes
11,73.46,Monthly,Electronic Check,3,No
5,114.66,One year,Bank Transfer,5,No
62,135.49,Monthly,Direct Debit,2,Yes
35,115.23,Monthly,Credit Card,6,No
62,60.01,Two years,Direct Debit,10,No
16,118.28,One year,Electronic Check,0,No
3,116.18,One year,Bank Transfer,10,No
35,120.63,Two years,Bank Transfer,7,No
58,22.35,Two years,Credit Card,9,No
33,57.05,Two years,Direct Debit,3,No
22,61.18,One year,Direct Debit,2,No
44,46.2,One year,Electronic Check,8,Yes
42,134.49,Monthly,Direct Debit,10,No
60,138.66,One year,Credit Card,5,Yes
8,111.22,Monthly,Bank Transfer,7,No
71,80.83,Two years,Electronic Check,10,No
58,50.54,Monthly,Direct Debit,3,No
17,24.07,Two years,Electronic Check,9,Yes
50,22.88,Two years,Credit Card,2,No
9,74.5,One year,Electronic Check,4,Yes
