timestamp,open_price,close_price,high_price,low_price,volume
10/30/2021,17.49,20.49,39.49,0,71634.86
4/6/2020,730.01,721.01,780.01,713.01,98892.0
5/31/2020,973.82,965.82,1027.82,904.82,130380.0
6/27/2020,915.54,917.54,930.54,871.54,230572.0
8/1/2021,478.54,483.54,501.54,477.54,26808.0
4/26/2021,642.94,652.94,654.94,612.94,53844.0
2/18/2021,431.02,435.02,486.02,391.02,247000.0
2/7/2021,633.14,636.14,677.14,603.14,159766.0
4/11/2020,396.8,402.8,438.8,313.8,500250.0
11/25/2020,118.67,124.67,149.67,23.67,178668.0
2/3/2021,678.94,676.94,729.94,673.94,96096.0
6/21/2020,783.67,787.67,824.67,761.67,227682.0
6/25/2020,497.73,487.73,526.73,469.73,211242.0
1/1/2020,682.11,687.11,698.11,588.11,155540.0
2/28/2020,111.71,103.71,161.71,64.71,433590.0
7/31/2020,17.26,18.26,42.26,0,125512.2
10/13/2021,327.56,337.56,369.56,260.56,229554.0
6/3/2020,841.08,846.08,886.08,770.08,334080.0
7/16/2021,248.71,242.71,268.71,182.71,410478.0
8/4/2020,306.73,309.73,333.73,290.73,176171.0
3/5/2020,815.62,811.62,913.62,731.62,437346.0
1/11/2020,412.38,414.38,485.38,411.38,308802.0
12/17/2020,7.28,5.28,93.28,0,181336.32
8/23/2021,342.14,342.14,431.14,335.14,265344.0
1/14/2020,972.96,967.96,1069.96,874.96,635310.0
5/25/2021,51.5,60.5,96.5,47.5,143766.0
10/7/2020,565.61,570.61,644.61,504.61,216720.0
11/23/2021,996.38,990.38,1043.38,986.38,151620.0
10/7/2021,858.63,856.63,887.63,788.63,425205.0
8/25/2021,580.82,584.82,583.82,547.82,77904.0
3/20/2020,806.83,810.83,836.83,755.83,389934.0
1/2/2020,420.83,415.83,507.83,414.83,260121.0
5/29/2021,481.14,485.14,502.14,393.14,501836.0
9/24/2021,306.68,305.68,384.68,280.68,492440.0
12/12/2020,986.96,996.96,1067.96,952.96,400775.0
3/29/2021,470.95,477.95,542.95,440.95,262650.0
1/17/2020,885.87,887.87,924.87,802.87,208986.0
10/1/2020,601.76,593.76,672.76,544.76,253824.0
3/6/2021,386.0,396.0,471.0,338.0,396606.0
11/6/2020,948.7,954.7,993.7,851.7,319784.0
3/2/2021,693.67,688.67,742.67,639.67,367195.0
4/12/2021,637.49,644.49,685.49,550.49,176175.0
1/12/2021,516.39,516.39,599.39,437.39,410184.0
4/30/2021,204.78,203.78,218.78,198.78,66680.0
4/7/2020,699.88,705.88,743.88,684.88,124844.0
7/2/2020,481.95,473.95,484.95,397.95,97875.0
10/1/2021,669.04,670.04,721.04,575.04,560640.0
12/25/2020,31.48,40.48,75.48,0,244404.24
7/24/2021,775.25,767.25,776.25,759.25,61659.0
2/26/2021,599.41,596.41,630.41,560.41,94640.0
5/27/2021,223.6,222.6,246.6,132.6,131784.0
10/25/2021,614.84,620.84,617.84,585.84,110176.0
11/27/2020,183.13,184.13,271.13,99.13,245272.0
2/6/2020,31.78,34.78,41.78,24.78,67388.0
11/2/2021,289.91,281.91,314.91,260.91,205038.0
2/24/2021,560.69,554.69,578.69,515.69,188244.0
4/5/2020,119.42,121.42,140.42,56.42,87612.0
7/8/2020,34.92,28.92,60.92,0,271459.52
2/26/2021,147.34,141.34,151.34,122.34,29754.0
10/7/2020,992.9,997.9,1081.9,906.9,232400.0
11/14/2020,376.38,379.38,408.38,316.38,420716.0
7/17/2021,700.1,704.1,703.1,621.1,261088.0
12/17/2020,865.13,875.13,952.13,813.13,203079.0
12/3/2021,433.54,435.54,437.54,354.54,393586.0
1/5/2020,341.27,344.27,359.27,303.27,261912.0
6/15/2021,112.96,107.96,165.96,40.96,583000.0
12/17/2021,439.81,429.81,443.81,409.81,80410.0
4/14/2021,978.33,988.33,1033.33,951.33,82902.0
3/11/2021,550.41,555.41,583.41,450.41,283290.0
10/8/2021,520.02,528.02,616.02,500.02,243600.0
2/26/2020,884.37,894.37,915.37,792.37,333084.0
8/6/2021,132.01,133.01,204.01,85.01,491351.0
10/1/2021,779.44,775.44,850.44,694.44,480168.0
1/20/2021,673.14,667.14,738.14,627.14,448107.0
4/23/2020,786.7,782.7,821.7,703.7,191986.0
5/28/2020,588.76,589.76,589.76,568.76,75894.0
4/11/2021,917.03,915.03,991.03,823.03,319032.0
2/28/2021,304.77,298.77,380.77,282.77,327124.0
5/22/2020,98.63,95.63,173.63,4.63,317213.0
8/15/2021,81.96,77.96,143.96,41.96,432480.0
2/6/2020,530.76,524.76,569.76,505.76,93696.0
7/7/2021,680.03,685.03,695.03,581.03,305292.0
2/1/2020,903.96,896.96,919.96,881.96,119092.0
5/6/2020,995.04,999.04,1080.04,950.04,525460.0
1/18/2020,983.79,988.79,1078.79,893.79,686535.0
7/16/2021,869.03,872.03,938.03,833.03,122850.0
5/4/2020,881.37,889.37,893.37,872.37,58485.0
2/23/2021,337.42,347.42,413.42,278.42,471960.0
3/18/2021,116.33,126.33,129.33,20.33,521456.0
6/22/2020,115.01,107.01,156.01,78.01,246636.0
4/17/2021,176.12,178.12,213.12,124.12,195622.0
12/28/2020,377.9,371.9,459.9,343.9,267844.0
5/17/2021,392.08,384.08,474.08,300.08,566022.0
2/25/2020,888.05,888.05,928.05,799.05,130290.0
1/23/2021,347.42,356.42,436.42,303.42,402192.0
4/25/2021,244.63,235.63,259.63,191.63,70788.0
5/8/2020,895.32,902.32,956.32,875.32,294435.0
8/8/2020,973.49,971.49,1014.49,890.49,431768.0
6/1/2020,255.68,256.68,275.68,199.68,230584.0
6/9/2020,22.85,27.85,52.85,0,249134.9
10/7/2020,179.87,172.87,220.87,115.87,470610.0
2/5/2020,551.68,550.68,584.68,457.68,440690.0
7/1/2020,32.75,23.75,57.75,26.75,101029.0
5/5/2020,760.27,766.27,800.27,704.27,372384.0
7/10/2020,243.72,244.72,254.72,233.72,61614.0
11/17/2021,150.73,140.73,235.73,121.73,202008.0
5/29/2021,824.54,833.54,835.54,806.54,93525.0
6/1/2020,317.49,318.49,389.49,261.49,261760.0
12/16/2020,153.19,147.19,191.19,151.19,103240.0
9/1/2021,505.23,514.23,519.23,454.23,166855.0
6/13/2020,173.43,167.43,214.43,156.43,75516.0
3/30/2020,424.81,415.81,452.81,331.81,155364.0
12/11/2020,98.1,89.1,130.1,75.1,247995.0
11/18/2021,740.65,748.65,824.65,713.65,472971.0
6/8/2020,582.87,588.87,585.87,564.87,71043.0
7/4/2020,141.45,135.45,207.45,97.45,463320.0
8/1/2021,682.94,677.94,710.94,616.94,130096.0
12/4/2021,946.87,946.87,1032.87,863.87,379912.0
11/15/2021,999.1,996.1,1028.1,970.1,242730.0
1/22/2021,771.1,775.1,848.1,698.1,729750.0
3/1/2020,118.14,121.14,131.14,23.14,227448.0
6/17/2021,870.46,870.46,925.46,778.46,616518.0
4/2/2020,726.52,729.52,809.52,634.52,520450.0
2/18/2021,665.24,660.24,751.24,565.24,787896.0
8/2/2021,907.11,898.11,926.11,845.11,393093.0
7/19/2021,434.73,438.73,488.73,409.73,200186.0
5/15/2021,800.29,799.29,832.29,729.29,509438.0
7/14/2021,606.88,601.88,691.88,565.88,616392.0
6/18/2020,287.11,281.11,333.11,225.11,231984.0
6/25/2020,171.29,170.29,221.29,86.29,292410.0
2/16/2020,59.53,69.53,147.53,0,581415.73
7/26/2021,648.58,644.58,677.58,588.58,202564.0
4/13/2020,130.71,122.71,192.71,59.71,531867.0
4/25/2021,463.92,459.92,512.92,460.92,126880.0
9/18/2021,584.8,594.8,620.8,572.8,192672.0
12/8/2020,757.81,747.81,812.81,751.81,102724.0
10/2/2021,440.41,440.41,463.41,410.41,102502.0
4/5/2021,801.6,809.6,896.6,744.6,269952.0
11/11/2021,831.88,827.88,844.88,801.88,207389.0
6/8/2020,612.16,614.16,654.16,519.16,301320.0
7/23/2020,820.99,814.99,835.99,771.99,126208.0
1/26/2020,547.28,557.28,559.28,491.28,247792.0
4/24/2021,460.3,451.3,513.3,395.3,406156.0
9/2/2021,643.65,651.65,696.65,615.65,150012.0
7/6/2021,126.61,120.61,166.61,116.61,54150.0
1/16/2020,296.37,298.37,315.37,208.37,495731.0
10/19/2020,542.25,548.25,570.25,515.25,180070.0
4/9/2021,576.49,578.49,627.49,508.49,421736.0
11/11/2020,536.74,543.74,565.74,493.74,243792.0
6/17/2021,691.9,694.9,753.9,607.9,520198.0
6/3/2021,520.65,526.65,607.65,490.65,293553.0
2/19/2020,940.81,947.81,1000.81,844.81,641784.0
6/13/2020,159.45,160.45,179.45,83.45,162048.0
4/5/2021,531.29,529.29,581.29,495.29,411682.0
2/4/2020,564.7,568.7,648.7,501.7,599025.0
10/21/2020,575.96,566.96,670.96,490.96,357120.0
5/24/2020,17.52,17.52,60.52,9.52,201501.0
4/7/2021,984.71,992.71,1072.71,923.71,551896.0
7/24/2020,951.08,946.08,997.08,903.08,358610.0
8/8/2020,398.99,399.99,464.99,299.99,189915.0
10/9/2021,359.87,369.87,440.87,297.87,392249.0
3/28/2020,66.41,75.41,75.41,35.41,152200.0
10/31/2020,80.12,80.12,125.12,69.12,203224.0
3/27/2020,129.73,128.73,182.73,110.73,246384.0
1/10/2020,541.12,543.12,555.12,480.12,223950.0
10/12/2021,637.17,640.17,708.17,590.17,541030.0
1/10/2020,259.22,249.22,331.22,183.22,353424.0
7/23/2021,508.75,508.75,510.75,438.75,327672.0
5/24/2020,186.39,194.39,224.39,129.39,466355.0
2/13/2020,840.87,838.87,913.87,778.87,160920.0
12/23/2021,734.89,734.89,744.89,711.89,83292.0
